u,g,r,i,z,redshift
19.67259,18.70325,18.38361,17.88774,17.58717,0.05440659
22.05243,21.67042,20.18349,19.24124,18.75566,0.570865
21.802,19.95838,18.38243,17.79362,17.49699,0.3127209
19.73836,17.3961,16.59179,16.14326,15.74757,0.04808114
18.60284,16.66826,15.77404,15.35929,15.03963,0.08273616
18.9784,17.84722,17.28344,16.92704,16.73453,0.10744
22.3599,20.94137,19.02187,18.31655,17.87554,0.3699127
22.66535,21.90245,20.28342,19.38179,18.91137,0.518248
20.68936,19.04627,18.21911,17.76288,17.48471,0.150591
23.01241,22.33558,20.82335,19.89455,19.48522,0.538933
23.28432,21.90781,20.29263,19.4673,18.97849,0.4803638
24.29952,23.21006,21.23588,20.09927,19.62186,0.6139379
24.15868,23.05484,21.13004,19.83896,19.4351,0.6323503
23.95446,21.03656,19.1435,18.38368,17.95352,0.4465801
23.84816,21.72728,20.19838,19.21772,18.91992,0.5302573
23.94849,21.42295,19.70128,18.90655,18.69781,0.3740131
19.7726,17.897,16.81609,16.34417,15.97007,0.1197565
25.28245,22.58823,20.11753,19.14961,18.99768,0.493332
25.62135,21.3275,19.3982,18.77866,18.35021,0.3991366
18.93964,16.99241,16.09702,15.65185,15.29342,0.08189596
23.81467,22.65391,20.97501,19.88647,19.07176,0.6331556
19.36382,18.84436,18.65215,18.30595,18.41481,0.1196295
20.09529,18.19113,17.34712,16.88603,16.53433,0.1277058
19.49221,17.81203,17.12482,16.78795,16.52455,0.070324
24.9838,22.27006,20.5994,19.71593,19.19635,0.5614715
20.5975,18.72223,17.46243,16.97436,16.57842,0.1988061
20.30952,18.38762,17.32902,16.89771,16.53952,0.1415896
22.2525,20.20538,18.48972,17.81951,17.29068,0.3956774
20.84385,18.85487,17.6678,17.20637,16.81524,0.1702323
23.54682,21.10934,19.51665,18.74689,18.25817,0.4576833
19.65552,17.60776,16.48535,16.04435,15.67687,0.1601948
19.56626,18.13056,17.43497,17.05999,16.7825,0.07245316
22.7228,22.27593,21.17866,20.2639,19.87138,0.6087387
22.50872,21.39215,20.4418,19.689,19.19806,0.6524987
19.7834,17.7454,16.69839,16.2708,15.90133,0.1265181
22.93161,21.49131,19.66597,18.74924,18.31715,0.5076992
20.93582,18.43388,17.44124,17.01057,16.67018,0.1106111
24.06784,23.04055,21.4066,20.21564,19.84045,0.6265841
19.84116,18.14717,17.18597,16.77337,16.43483,0.1297809
21.47967,19.12049,17.97916,17.46048,17.0476,0.1355777
19.56184,17.72915,16.83391,16.4289,16.09051,0.08232159
18.74365,16.53674,15.41597,14.97639,14.64829,0.156453
22.75261,20.61596,18.78221,18.1866,17.80882,0.362537
23.12678,23.54552,21.66582,20.37633,19.93519,0.6529384
21.5925,20.13686,19.23848,18.88425,18.67924,0.2344383
24.04588,23.52673,20.33069,19.22657,18.59609,0.5929832
20.93536,20.30923,19.41456,19.03426,18.73869,0.3927596
21.48907,20.27942,19.46981,19.08321,18.7714,0.2169781
25.72205,20.43885,18.85328,18.3072,17.9071,0.3171095
23.37438,21.65885,20.19136,19.40504,18.97169,0.501227
21.75578,20.34272,19.65534,19.27424,19.21376,0.1363701
